"country","year","Title","Genre"
"Romania, Hungary, Belgium, France, Switzerland, Brazil, Czech Republic, Spain, Portugal, Australia, Poland, Argentina, Slovakia, Sweden, Mexico, Greece, United States, Colombia",2004,"The Polar Express","Adventure, Animation, Comedy, Family, Fantasy, Musical"
"Romania, Hungary, Brazil, Czech Republic, Argentina, Slovakia, Mexico, Colombia",2008,"Slumdog Millionaire","Drama, Romance"
"Romania, Hungary, Brazil, Czech Republic, Poland, Argentina, Slovakia, Mexico, Colombia, Australia, Canada",2016,"Fifty Shades of Black","Comedy"
"Romania, Hungary, Canada, Belgium, Sweden, Czech Republic, Slovakia",2017,"Breathe","Biography, Drama, Romance"
"Romania, Hungary, Canada, Czech Republic, Australia, Poland, Argentina, Slovakia, Mexico, Colombia",2017,"The Glass Castle","Biography, Drama"
"Romania, Hungary, Canada, South Africa, Switzerland, Czech Republic, Germany, Italy, Slovakia",2016,"Criminal","Action, Sci-Fi, Thriller"
"Romania, Hungary, Canada, Thailand, Brazil, Netherlands, Czech Republic, Poland, Argentina, Greece, Mexico, Colombia, Belgium",2017,"Only the Brave","Action, Biography, Drama"
"Romania, Hungary, Czech Republic",2014,"Love by Design","Romance"
"Romania, Hungary, Czech Republic",2017,"Mark Felt: The Man Who Brought Down the White House","Biography, Drama, History, Thriller"
"Romania, Hungary, Czech Republic, Australia, Slovakia, Netherlands, Spain, South Korea",2018,"The House with a Clock in Its Walls","Comedy, Family, Fantasy, Sci-Fi"
"Romania, Hungary, Czech Republic, Australia, United States, Slovakia",2018,"The Happytime Murders","Action, Comedy, Crime, Fantasy, Mystery, Thriller"
"Romania, Hungary, Czech Republic, Germany",2012,"Looper","Action, Drama, Sci-Fi, Thriller"
"Romania, Hungary, Czech Republic, Italy, Australia, India, Slovakia",2013,"Side Effects","Crime, Drama, Mystery, Thriller"
"Romania, Hungary, Czech Republic, Poland, Slovakia",2019,"Pup-o, ma!","Comedy"
"Romania, Hungary, Czech Republic, Slovakia",2004,"The Butterfly Effect","Drama, Sci-Fi, Thriller"
"Romania, Hungary, Czech Republic, Slovakia",2007,"Rescue Dawn","Action, Biography, Drama, Thriller, War"
"Romania, Hungary, Czech Republic, Slovakia",2009,"Thick as Thieves","Action, Crime, Thriller"
"Romania, Hungary, Czech Republic, Slovakia",2010,"13","Crime, Drama, Thriller"
"Romania, Hungary, Czech Republic, Slovakia",2010,"Tucker and Dale vs. Evil","Comedy, Horror"
"Romania, Hungary, Czech Republic, Slovakia",2011,"The Devils Double","Biography, Drama, Thriller"
"Romania, Hungary, Czech Republic, Slovakia",2013,"Texas Chainsaw","Horror, Thriller"
"Romania, Hungary, Czech Republic, Slovakia",2014,"The Best Offer","Crime, Drama, Mystery, Romance"
"Romania, Hungary, Czech Republic, Slovakia",2014,"The Legend of Hercules","Action, Adventure, Fantasy"
"Romania, Hungary, Czech Republic, Slovakia",2015,"The Loft","Mystery, Romance, Thriller"
"Romania, Hungary, Czech Republic, Slovakia",2017,"Boyka: Undisputed","Action, Drama, Sport"
"Romania, Hungary, Czech Republic, Slovakia",2017,"Ghinionistul","Comedy"
"Romania, Hungary, Czech Republic, Slovakia",2017,"The Dinner","Crime, Drama, Thriller"
"Romania, Hungary, Czech Republic, Slovakia",2017,"The Last Face","Drama, Romance"
"Romania, Hungary, Czech Republic, Slovakia",2017,"The Wanderers: The Quest of The Demon Hunter","Comedy, Drama, Fantasy, Horror, Mystery, Thriller"
"Romania, Hungary, Czech Republic, Slovakia, Australia",2017,"Stronger","Biography, Drama"
"Romania, Hungary, Czech Republic, Slovakia, Sweden",2016,"Race","Biography, Drama, Sport"
"Romania, Hungary, Czech Republic, Spain, India, Slovakia, Turkey",2011,"The Double","Action, Crime, Drama, Thriller"
"Romania, Hungary, Czech Republic, Spain, Slovakia",2011,"The Lincoln Lawyer","Crime, Drama, Mystery, Thriller"
"Romania, Hungary, Czech Republic, United States, Canada, Slovakia",2017,"A Family Man","Drama"
"Romania, Hungary, France, Belgium, Canada, Switzerland, Brazil, Czech Republic, Germany, Poland, Argentina, Slovakia, Mexico, Colombia",2004,"Scooby-Doo 2: Monsters Unleashed","Adventure, Comedy, Family, Fantasy, Horror, Mystery, Sci-Fi"
"Romania, Hungary, France, Belgium, Switzerland, Canada, Brazil, Czech Republic, Netherlands, Germany, Australia, Poland, Argentina, Slovakia, Mexico, Colombia",2002,"Scooby-Doo","Adventure, Comedy, Family, Fantasy, Mystery"
"Romania, Hungary, France, Brazil, Czech Republic, Poland, India, Argentina, Greece, Slovakia, Turkey, Mexico, Russia, Colombia, Switzerland",2013,"Anchorman 2: The Legend Continues","Comedy"
"Romania, Hungary, France, Czech Republic, Poland, Slovakia",2007,"4 Months, 3 Weeks and 2 Days","Drama"
"Romania, Hungary, Hong Kong",2012,"Man on a Ledge","Action, Crime, Thriller"
"Romania, Hungary, Hong Kong, Belgium, Canada, Thailand, Czech Republic, India, Slovakia, Malaysia, Turkey",2014,"November Man","Action, Thriller"
"Romania, Hungary, Hong Kong, Belgium, South Africa, Czech Republic, Netherlands, Singapore, Malaysia, Slovakia",2014,"Dumb and Dumber To","Comedy"
"Romania, Hungary, Hong Kong, Canada, Thailand, Belgium, Czech Republic, Netherlands, Italy, Poland, Singapore, Greece, Malaysia, Slovakia, Turkey",1972,"The Godfather","Crime, Drama"
"Romania, Hungary, Hong Kong, India, Japan, United Kingdom, Canada, Thailand, Czech Republic, Poland, Singapore, Greece, Malaysia, Turkey",2010,"Paranormal Activity 2","Horror, Mystery"
"Romania, Hungary, Hong Kong, India, United Kingdom, Canada, Thailand, Czech Republic, Italy, Poland, Singapore, Greece, Malaysia, Turkey, Japan",2011,"Paranormal Activity 3","Horror, Mystery"
"Romania, Hungary, Hong Kong, Japan, Switzerland, Belgium, Brazil, Czech Republic, Netherlands, Germany, Argentina, Malaysia, Slovakia, Mexico, Colombia",2015,"Point Break","Action, Adventure, Crime, Sport, Thriller"
"Romania, Hungary, India, South Korea",2014,"Oculus","Horror, Mystery"
"Romania, Hungary, Italy",2012,"The Words","Drama, Mystery, Romance, Thriller"
"Romania, Hungary, Italy, Poland",2012,"To Rome with Love","Comedy, Music, Romance"
"Romania, Hungary, Japan, Belgium, France, Switzerland, United Kingdom, Czech Republic, Italy, Poland, Slovakia, Turkey, Israel, Australia, South Korea",2008,"The Curious Case of Benjamin Button","Drama, Fantasy, Romance"
"Romania, Hungary, Japan, Czech Republic, Poland, Slovakia, Turkey, Belgium, Netherlands",2017,"Valerian and the City of a Thousand Planets","Action, Adventure, Fantasy, Sci-Fi"
"Romania, Hungary, Japan, Czech Republic, Slovakia",2016,"Solace","Crime, Drama, Mystery, Thriller"
"Romania, Hungary, Japan, Switzerland, Czech Republic, Italy, Malaysia, Slovakia, South Korea",2017,"Atomic Blonde","Action, Thriller"
"Romania, Hungary, Japan, United Kingdom, Belgium, Canada, Netherlands, Czech Republic, Germany, Switzerland, Australia, Greece, United States",2016,"Ballerina","Documentary"
"Romania, Hungary, Lithuania, Belgium, Canada, Russia, Czech Republic, Australia, Poland, Slovakia, Turkey",2013,"Elysium","Action, Drama, Sci-Fi"
"Romania, Hungary, Lithuania, Belgium, Japan, South Africa, Switzerland, Russia, Canada, Czech Republic, Germany, Israel, Italy, Poland, Slovakia",2013,"Captain Phillips","Adventure, Biography, Crime, Drama, Thriller"
"Romania, Hungary, Lithuania, Canada, South Africa, Russia, Switzerland, Brazil, Czech Republic, Germany, Israel, Australia, Poland, India, Argentina, Slovakia, Turkey, Mexico, Hong Kong, Japan, Italy, Thailand, Singapore, Malaysia, France, Colombia, Portugal, Spain",2017,"Spider-Man: Homecoming","Action, Adventure, Sci-Fi"
"Romania, Hungary, Lithuania, Czech Republic, Iceland, Poland, Slovakia, Turkey, South Korea, Japan",1989,"sex, lies, and videotape","Drama"
"Romania, Hungary, Lithuania, Czech Republic, Israel, Australia, Poland, Slovakia, Turkey",2001,"Baby Boy","Crime, Drama, Romance, Thriller"
"Romania, Hungary, Lithuania, Czech Republic, Poland, Slovakia, South Africa",1981,"Heavy Metal","Adventure, Animation, Fantasy, Sci-Fi"
"Romania, Hungary, Lithuania, Czech Republic, South Africa, Poland, Slovakia",2001,"The Brothers","Comedy, Drama"
"Romania, Hungary, Lithuania, France, Iceland, South Africa, Switzerland, Canada, Brazil, Czech Republic, Spain, Italy, Australia, Poland, Argentina, Greece, Slovakia, Sweden, Mexico, Colombia, Russia",2013,"Grown Ups 2","Comedy"
"Romania, Hungary, Lithuania, France, Japan, Greece, South Korea, Poland, Slovakia, Czech Republic, Hong Kong, Iceland, Turkey, Portugal, Belgium, Canada, South Africa, Singapore, Switzerland, United States, Spain, Germany, Argentina, Thailand, Australia, Malaysia, Brazil, Italy, Israel, India, Mexico, Netherlands, Colombia, Russia",2012,"Django Unchained","Drama, Western"
"Romania, Hungary, Lithuania, India, Russia, Japan, United Kingdom, Czech Republic, Germany, Portugal, Italy, Australia, Poland, Greece, Slovakia, Turkey, South Africa",2009,"Watchmen","Action, Drama, Mystery, Sci-Fi"
"Romania, Hungary, Lithuania, Russia, Belgium, Czech Republic, Netherlands, Poland, Slovakia, South Africa, United States, Turkey",1998,"Cant Hardly Wait","Comedy, Romance"
"Romania, Hungary, Lithuania, Russia, Czech Republic, Germany, Israel, Poland, Slovakia, Turkey",2019,"Cinayet Süsü","Comedy, Crime, Mystery"
"Romania, Hungary, Lithuania, Russia, Japan, Switzerland, Portugal, Czech Republic, Israel, Italy, Poland, Slovakia, Greece, United States",2011,"Unknown","Action, Mystery, Thriller"
"Romania, Hungary, Lithuania, South Africa, Switzerland, Canada, Czech Republic, Netherlands, Iceland, Israel, Italy, Australia, Poland, Slovakia, Japan, France",2013,"White House Down","Action, Drama, Thriller"
"Romania, Hungary, Lithuania, South Korea, Belgium, Mexico, Brazil, Netherlands, Czech Republic, Iceland, Italy, Poland, Greece, Argentina, France, Colombia",1995,"Legends of the Fall","Drama, Romance, War, Western"
"Romania, Hungary, Lithuania, South Korea, France, Japan, Poland, Czech Republic, Belgium, Hong Kong, Sweden, Turkey, South Africa, Switzerland, Singapore, Russia, United States, Australia, Argentina, Greece, Slovakia, Thailand, Malaysia, Brazil, Netherlands, Italy, Portugal, Mexico, Spain, Colombia, Canada, Germany",2013,"Cloudy with a Chance of Meatballs 2","Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi"
"Romania, Hungary, Lithuania, South Korea, Russia, Hong Kong, Canada, Thailand, Japan, Brazil, Czech Republic, Netherlands, Israel, Poland, Singapore, India, Argentina, Malaysia, Slovakia, Mexico, Belgium, Colombia",2006,"Facing the Giants","Drama, Fantasy, Sport"
"Romania, Hungary, Lithuania, Switzerland, Russia, South Korea, Czech Republic, Italy, Poland, Slovakia",1987,"84 Charing Cross Road","Biography, Drama, Romance"
"Romania, Hungary, Lithuania, United Kingdom, South Africa, Canada, Thailand, Australia, Russia, Singapore, India, Czech Republic, United States, Greece, Slovakia, Malaysia, Iceland, Israel",2019,"Bypass Road","Drama, Mystery, Thriller"
"Romania, Hungary, Mexico, Belgium, Brazil, Czech Republic, Netherlands, Israel, Italy, Poland, Argentina, Slovakia, Colombia, South Korea",2014,"Into the Storm","Action, Adventure, Drama, Thriller"
"Romania, Hungary, Mexico, United Kingdom, Lithuania, Portugal, France, Belgium, Switzerland, Brazil, Czech Republic, Netherlands, Germany, Poland, Argentina, Greece, Slovakia, Turkey, Colombia",2012,"Flight","Drama, Thriller"
"Romania, Hungary, Poland, Lithuania, Czech Republic, Canada, Israel, Greece, Sweden, Australia",2002,"Mr. Deeds","Comedy, Romance"
"Romania, Hungary, Portugal, Czech Republic, Poland, Slovakia, Sweden, Turkey",2001,"The Lord of the Rings: The Fellowship of the Ring","Action, Adventure, Drama, Fantasy"
"Romania, Hungary, Portugal, Thailand, Czech Republic, Italy, Singapore, Malaysia, Slovakia",2001,"Traffic","Crime, Drama, Thriller"
"Romania, Hungary, South Africa, Czech Republic, Netherlands, Slovakia",2015,"Some Kind of Beautiful","Comedy, Romance"
"Romania, Hungary, South Africa, Singapore, South Korea",2016,"Blair Witch","Horror, Mystery, Thriller"
"Romania, Hungary, South Korea, Belgium, Canada, Czech Republic, Netherlands, Australia, Slovakia",2016,"Dirty Grandpa","Comedy"
"Romania, Hungary, South Korea, Belgium, Hong Kong, Thailand, Czech Republic, Netherlands, Singapore, Malaysia, Slovakia",2015,"Taken 3","Action, Thriller"
"Romania, Hungary, South Korea, Japan, Canada, Thailand, Switzerland, Brazil, Czech Republic, Netherlands, Germany, Australia, India, Argentina, Greece, Malaysia, Slovakia, Sweden, Turkey, Mexico, Colombia",2016,"Deepwater Horizon","Action, Drama, History, Thriller"
"Romania, Hungary, South Korea, Switzerland, Czech Republic, Germany, India",2013,"Out of the Furnace","Action, Crime, Drama, Thriller"
"Romania, Hungary, Switzerland, Belgium, Canada, Czech Republic, Netherlands, Spain, Germany, Argentina, Slovakia, Turkey, Mexico, Colombia",2017,"The Shack","Drama, Fantasy"
"Romania, Hungary, Switzerland, Czech Republic, Germany, Italy, Slovakia",2012,"How I Spent My Summer Vacation","Action, Crime, Drama"
"Romania, Hungary, Switzerland, Netherlands, Germany, Turkey",2016,"Office Christmas Party","Comedy"
"Romania, Hungary, United Kingdom",2014,"Vampire Academy","Action, Comedy, Drama, Fantasy, Horror, Mystery, Thriller"
"Romania, Hungary, United Kingdom, Belgium, Czech Republic, Netherlands, Italy, Australia, Slovakia",2015,"The Gunman","Action, Crime, Thriller"
"Romania, Hungary, United Kingdom, Belgium, Czech Republic, Netherlands, Slovakia, Sweden, Turkey",2016,"The BFG","Adventure, Family, Fantasy"
"Romania, Hungary, United Kingdom, Canada, France, Czech Republic",2015,"Love the Coopers","Comedy, Fantasy, Romance"
"Romania, Hungary, United Kingdom, Czech Republic, Australia, Poland, Slovakia, Sweden, South Africa, Russia",2005,"Rumor Has It","Comedy, Drama, Romance"
"Romania, Iceland, Hungary, Slovakia, Czech Republic, Lithuania, Russia, India, Canada, United States, Sweden, Belgium, Argentina, Spain, Germany, France, Switzerland, Mexico, South Africa, Japan, Australia, Turkey, United Kingdom, Greece, Malaysia, Brazil, Netherlands, Israel, Italy, Colombia",2017,"Michael Lost and Found","Documentary, Short"
"Romania, India, Greece, Spain, United Kingdom, Iceland, Canada, Argentina, Thailand, Switzerland, Belgium, South Africa, Czech Republic, Slovakia, Mexico, Portugal, France, South Korea, Australia, Russia, Japan, Hong Kong, Singapore, Germany, Lithuania, Hungary, United States, Malaysia, Brazil, Italy, Israel, Colombia",2019,"Bangkok Love Stories: Innocence","Romance"
"Romania, India, Russia, Hong Kong, Canada, Switzerland, France, Lithuania, South Korea, Japan, Mexico, Belgium, South Africa, Thailand, Hungary, Portugal, United Kingdom, Iceland, Brazil, Czech Republic, Netherlands, Spain, Germany, Israel, Italy, Australia, Poland, Singapore, Argentina, Greece, Slovakia, Malaysia, Sweden, Turkey, Colombia",2016,"Shadowhunters","Action, Drama, Fantasy, Romance"
"Romania, India, United Kingdom, Belgium, Netherlands, Iceland, Australia, Canada",2011,"Abduction","Action, Mystery, Thriller"
"Romania, India, United Kingdom, Spain, Thailand, Iceland, Canada, Argentina, Switzerland, Belgium, Czech Republic, Greece, South Africa, Slovakia, Mexico, Portugal, Australia, France, Russia, Japan, South Korea, Hong Kong, Germany, Singapore, Lithuania, Hungary, United States, Malaysia, Brazil, Italy, Israel, Colombia",2019,"Sleepless Society: Nyctophobia","Mystery, Thriller"
"Romania, Israel, Iceland, Italy, France, Australia, Slovakia, South Korea, Netherlands, Poland, Japan, Sweden, Russia, Hong Kong, Lithuania, India, Brazil, Spain, United Kingdom, Canada, South Africa, Czech Republic, Mexico, Portugal, Hungary, Belgium, Greece, Argentina, Turkey, Germany, Singapore, Thailand",1999,"Im Brent Morin","Action, Adventure, Fantasy, Sci-Fi"
"Romania, Italy, Australia",2012,"Cloud Atlas","Action, Drama, Mystery, Sci-Fi"
"Romania, Italy, Australia, Thailand, France, Japan, South Africa, South Korea, Singapore, Russia, Netherlands, Poland, Hong Kong, Sweden, Belgium, India, Hungary, Germany, Lithuania, Slovakia, Greece, Brazil, Iceland, Czech Republic, Mexico, Spain, United Kingdom, Argentina, Canada, United States, Turkey, Israel, Portugal, Switzerland, Malaysia, Colombia",2019,"Revenge of the Pontianak","Horror, Romance"
"Romania, Japan, France, Hong Kong, Hungary, Belgium, Czech Republic, Netherlands, Germany, Australia, Slovakia, Malaysia, Turkey",2016,"The Nice Guys","Action, Comedy, Crime, Thriller"
"Romania, Japan, Germany, Spain, Sweden, Portugal, Greece, France, Lithuania, United Kingdom, Russia, Poland, Czech Republic, Australia, India, United States, South Africa, Canada, Switzerland, Slovakia, Turkey, Hungary, Italy",2015,"Heidi","Drama, Family"
"Romania, Japan, Hong Kong, Belgium, Hungary, Switzerland, Thailand, Czech Republic, Netherlands, Spain, Germany, Italy, Australia, Singapore, Malaysia, Slovakia",2014,"The Expendables 3","Action, Adventure, Thriller"
"Romania, Japan, Hong Kong, Belgium, Thailand, Hungary, Brazil, Czech Republic, Netherlands, India, Argentina, Greece, Malaysia, Slovakia, Sweden, Turkey, Germany, Switzerland, Mexico, Colombia, Spain",2016,"Gods of Egypt","Action, Adventure, Fantasy"
"Romania, Japan, Hong Kong, Lithuania, Russia, United Kingdom, South Korea, India, France, Switzerland, Thailand, Mexico, Belgium, Hungary, Brazil, Czech Republic, Netherlands, Spain, Germany, South Africa, Iceland, Portugal, Israel, Italy, Australia, Poland, Singapore, Argentina, Greece, Malaysia, Slovakia, Sweden, Turkey, Colombia",2012,"The Five-Year Engagement","Comedy, Romance"
"Romania, Japan, Hong Kong, South Africa, Belgium, Hungary, Switzerland, Brazil, Czech Republic, Netherlands, Spain, Germany, Australia, Singapore, Argentina, Malaysia, Slovakia, Turkey, Mexico, Colombia",2012,"The Expendables 2","Action, Adventure, Thriller"
"Romania, Japan, Lithuania, Russia, United Kingdom, Hungary, India, Hong Kong, Switzerland, Belgium, Czech Republic, Netherlands, Spain, Germany, South Korea, Portugal, Italy, Australia, Poland, Singapore, Greece, Slovakia, Malaysia, Turkey",2008,"The Other Boleyn Girl","Biography, Drama, History, Romance"
"Romania, Japan, Poland, Sweden, Germany, Portugal, Mexico, Spain, Belgium, Switzerland, Greece, France, Iceland, Czech Republic, Russia, Hong Kong, Hungary, India, Thailand, South Africa, Slovakia, Lithuania, Singapore, United Kingdom, Canada, Argentina, Australia, United States, Turkey, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2012,"<U+0623><U+062D><U+0645><U+062F> <U+062D><U+0644><U+0645><U+064A> - <U+0644><U+064A><U+0644><U+0649> <U+0639><U+0632> <U+0627><U+0644><U+0639><U+0631><U+0628> - <U+0645><U+062D><U+0645><U+062F> <U+0641><U+0631><U+062C>","Comedy, Drama, Family, Romance"
"Romania, Japan, Portugal, Switzerland, France, Belgium, Netherlands, Spain, Germany, Turkey, Poland, Czech Republic, Hungary, Slovakia, South Korea, United States, Thailand, Singapore, Malaysia, Hong Kong, India",2009,"Sherlock Holmes","Action, Adventure, Mystery"
"Romania, Japan, South Korea, Belgium, Hungary, Netherlands, Czech Republic, Germany, Sweden, Spain, Greece, South Africa",2016,"London Has Fallen","Action, Thriller"
"Romania, Japan, South Korea, Hungary, Switzerland, Belgium, India, United Kingdom, Canada, Thailand, Netherlands, Czech Republic, Germany, Australia, Malaysia, Sweden, Spain, Mexico, Argentina, Brazil, Colombia",2016,"Now You See Me 2","Action, Adventure, Comedy, Crime, Mystery, Thriller"
"Romania, Lithuania, Brazil, Israel, Spain, United Kingdom, Greece, Canada, Hong Kong, United States, Switzerland, Portugal, Argentina, Australia, France, Russia, South Korea, Czech Republic, Singapore, Japan, Belgium, Netherlands, India, Sweden, Poland, Slovakia, Germany, South Africa, Mexico, Iceland, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2018,"The Ballad of Buster Scruggs","Comedy, Drama, Musical, Mystery, Romance, Western"
"Romania, Lithuania, France, Iceland, Canada, Mexico, Spain, Greece, Belgium, Thailand, Portugal, Singapore, Argentina, Czech Republic, South Africa, Switzerland, United Kingdom, Russia, Slovakia, Australia, Germany, United States, India, Hong Kong, Sweden, Poland, Japan, Turkey, Malaysia, Hungary, Brazil, Netherlands, Italy, Israel, Colombia",2009,"Whats Your Raashee?","Comedy, Drama, Romance"
"Romania, Lithuania, Hungary, South Africa, Czech Republic, Poland, Slovakia, India, Iceland, Portugal",2009,"The International","Action, Crime, Drama, Mystery, Thriller"
"Romania, Lithuania, Hungary, South Korea, Japan, Russia, Spain, Czech Republic, Israel, Poland, Turkey, Greece",2009,"Michael Jacksons This Is It","Documentary, Drama, Music"
"Romania, Lithuania, Hungary, United Kingdom, Belgium, India, Netherlands, Czech Republic, Israel, Poland, Greece, Sweden",2003,"National Security","Action, Comedy, Crime, Thriller"
"Romania, Lithuania, Poland, France, Iceland, Italy, Spain, Greece, Canada, Czech Republic, Mexico, Belgium, South Africa, Portugal, Hungary, Slovakia, Sweden, Argentina, Australia, Germany, Israel, Brazil, Switzerland, Turkey, India, United Kingdom, United States, Russia, Colombia, Netherlands",2017,"Power Rangers Ninja Steel","Action, Adventure, Drama, Sci-Fi, Thriller"
"Romania, Lithuania, Poland, France, Iceland, Italy, Spain, Greece, Canada, Czech Republic, Mexico, Belgium, South Africa, Portugal, Thailand, Hungary, Singapore, Slovakia, Sweden, Argentina, Australia, Germany, Israel, Brazil, Switzerland, Turkey, India, United Kingdom, Malaysia, Hong Kong, Japan, South Korea, United States, Russia, Colombia, Netherlands",2012,"Pablo Escobar, el patron del mal","Biography, Crime, Drama, History, Thriller"
"Romania, Lithuania, Poland, France, Italy, Greece, Czech Republic, Belgium, Portugal, Hungary, Slovakia, Sweden, Netherlands, Germany, Switzerland, United Kingdom, Iceland",2018,"A Decent Man","Drama"
"Romania, Lithuania, Poland, France, Italy, Spain, Czech Republic, Belgium, Portugal, Hungary, Slovakia, Sweden, Netherlands, Switzerland, United Kingdom, Iceland",2013,"Domestic","Comedy, Drama, Family"
"Romania, Lithuania, Poland, France, Italy, Spain, Greece, Czech Republic, Belgium, Portugal, Hungary, Slovakia, Sweden, Netherlands, Germany, Switzerland, United Kingdom, Iceland",1986,"Summers Over","Drama, Romance"
"Romania, Lithuania, Poland, France, Italy, Spain, Greece, Czech Republic, Belgium, Portugal, Hungary, Slovakia, Sweden, Netherlands, Germany, Switzerland, United Kingdom, Iceland",2008,"Crossing Dates","Drama"
"Romania, Lithuania, Poland, France, Italy, Spain, Greece, Czech Republic, Belgium, Portugal, Hungary, Slovakia, Sweden, Netherlands, Germany, Switzerland, United Kingdom, Iceland",2011,"Ursul","Comedy"
"Romania, Lithuania, Poland, France, Italy, Spain, Greece, Czech Republic, Belgium, Portugal, Hungary, Slovakia, Sweden, Netherlands, Germany, Switzerland, United Kingdom, Iceland",2015,"Aliyah Dada","Documentary"
"Romania, Lithuania, Poland, France, Italy, Spain, Greece, Czech Republic, Belgium, Portugal, Hungary, Slovakia, Sweden, Netherlands, Germany, Switzerland, United Kingdom, Iceland",2015,"The World Is Mine","Drama"
"Romania, Lithuania, Poland, France, Italy, Spain, Greece, Czech Republic, Belgium, Portugal, Hungary, Slovakia, Sweden, Netherlands, Germany, Switzerland, United Kingdom, Iceland",2017,"Breaking News","Drama"
"Romania, Lithuania, Poland, France, Italy, Spain, Greece, Czech Republic, Belgium, Portugal, Hungary, Slovakia, Sweden, Netherlands, Germany, Switzerland, United Kingdom, Iceland",2018,"Beside me","Documentary"
"Romania, Lithuania, Poland, France, Italy, Spain, Greece, Czech Republic, Belgium, Portugal, Hungary, Slovakia, Sweden, Netherlands, Germany, Switzerland, United Kingdom, Iceland",2019,"Heads and Tails","Drama"
"Romania, Lithuania, Poland, France, Italy, Spain, Greece, Czech Republic, Belgium, Portugal, Hungary, Slovakia, Sweden, Netherlands, Germany, Switzerland, United Kingdom, Iceland",2019,"The Wreck","Drama"
"Romania, Lithuania, Poland, France, Italy, Spain, Greece, Czech Republic, Belgium, Portugal, Hungary, Slovakia, Sweden, Netherlands, Germany, Switzerland, United Kingdom, Iceland",2019,"Zavera","Drama"
"Romania, Lithuania, Russia, Hong Kong, South Korea, Canada, United Kingdom, France, Belgium, Portugal, Switzerland, South Africa, Thailand, Hungary, Iceland, Czech Republic, Netherlands, Spain, Germany, Israel, Poland, Singapore, Greece, Slovakia, Malaysia, Sweden, Turkey",2016,"Timeless","Action, Adventure, Drama, Sci-Fi"
"Romania, Lithuania, Russia, United Kingdom, Canada, Australia, Poland, Mexico, France, South Africa, Iceland, Thailand, Brazil, Singapore, India, Italy, Hong Kong, Spain, Japan, Greece, Czech Republic, Belgium, South Korea, United States, Argentina, Israel, Portugal, Hungary, Slovakia, Netherlands, Germany, Sweden, Switzerland, Turkey, Malaysia, Colombia",2015,"Youre My Boss","Comedy, Romance"
"Romania, Lithuania, Spain, Greece, United Kingdom, Hong Kong, Canada, Portugal, South Korea, France, Singapore, Mexico, Russia, Czech Republic, Hungary, Japan, Australia, Slovakia, Belgium, Germany, India, Switzerland, Argentina, South Africa, Iceland, Thailand, United States, Malaysia, Brazil, Israel, Italy, Colombia",2018,"May the Devil Take You","Horror, Mystery, Thriller"
"Romania, Mexico, Spain, Argentina, United Kingdom, Iceland, Portugal, Canada, Slovakia, Belgium, Greece, South Africa, Switzerland, Australia, Hong Kong, Japan, Sweden, South Korea, Poland, Russia, Singapore, Germany, Lithuania, Czech Republic, India, Thailand, Hungary, Turkey, France, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",1991,"Archibalds Next Big Thing","Comedy"
"Romania, Poland, Czech Republic, Hungary, Slovakia, Lithuania, Russia",2007,"Charlie Wilsons War","Biography, Comedy, Drama, History"
"Romania, Poland, Hungary, Hong Kong, Czech Republic, Russia, Singapore, Australia, Slovakia, Thailand, Malaysia, Israel, India, Canada",2009,"Ghosts of Girlfriends Past","Comedy, Fantasy, Romance"
"Romania, Poland, Hungary, Lithuania, Czech Republic, United States, Canada, Slovakia, Iceland, Netherlands",1994,"The Next Karate Kid","Action, Drama, Family, Romance, Sport"
"Romania, Poland, Italy, Spain, Greece, Czech Republic, Belgium, South Africa, Portugal, Hungary, Slovakia, Sweden, Netherlands, Switzerland, Australia, Germany, Turkey, Hong Kong, Japan, South Korea, France, Iceland, Canada, Mexico, Argentina, Brazil, Thailand, United States, Singapore, Lithuania, India, Israel, United Kingdom, Malaysia, Russia, Colombia",2019,"The Creative Brain","Documentary"
"Romania, Portugal, Belgium, France, Switzerland, Netherlands, Spain, Germany, Sweden, Turkey, Poland, Czech Republic, Hungary, Thailand, Singapore, Malaysia, Hong Kong, Japan, Russia",2001,"Oceans Eleven","Crime, Thriller"
"Romania, Portugal, Hungary, Hong Kong, Belgium, Iceland, Switzerland, Japan, South Korea, Thailand, Brazil, Czech Republic, Spain, Germany, South Africa, Italy, Poland, Singapore, India, Argentina, Greece, Malaysia, Slovakia, Sweden, Turkey, Mexico, Colombia",2013,"World War Z","Action, Adventure, Horror, Sci-Fi"
"Romania, Portugal, Japan, Lithuania, South Korea, Belgium, Hungary, France, Canada, South Africa, Russia, Czech Republic, Netherlands, Spain, Australia, Poland, India, Greece, Slovakia, Sweden, Turkey",2010,"The Tourist","Action, Romance, Thriller"
"Romania, Russia, Hungary, Lithuania, Czech Republic, Germany, Israel, Poland, Slovakia, Turkey",2017,"Recep Ivedik 5","Comedy"
"Romania, Russia, Hungary, Lithuania, Czech Republic, Germany, Israel, Poland, Slovakia, Turkey",2019,"Recep Ivedik 6","Comedy"
"Romania, Russia, Hungary, Lithuania, Czech Republic, Germany, Israel, Poland, Turkey",2016,"Osman Pazarlama","Comedy"
